scenario,seed,method,mae,coverage,gross_error_rate,apnea_false_output,step_latency
amplitude_change,26,threshold,0.14906577731816428,1.0,0.0,nan,nan
amplitude_change,26,consensus,0.036299790288405805,0.9933333333333333,0.0,nan,nan
amplitude_change,26,hybrid,0.09372628124510994,1.0,0.0,nan,nan
amplitude_change,27,threshold,0.14384855963170706,1.0,0.0,nan,nan
amplitude_change,27,consensus,0.03871206380399469,0.9866666666666667,0.0,nan,nan
amplitude_change,27,hybrid,0.09853623565305719,1.0,0.0,nan,nan
amplitude_change,28,threshold,0.08924451620649897,1.0,0.0,nan,nan
amplitude_change,28,consensus,0.03969157354402371,0.9933333333333333,0.0,nan,nan
amplitude_change,28,hybrid,0.06864238887865583,1.0,0.0,nan,nan
amplitude_change,29,threshold,0.23254613413038483,1.0,0.0,nan,nan
amplitude_change,29,consensus,0.04158055408705923,0.9933333333333333,0.0,nan,nan
amplitude_change,29,hybrid,0.14649555742030843,1.0,0.0,nan,nan
motion,0,threshold,0.11753652612534135,1.0,0.0,nan,nan
motion,0,consensus,0.1424046989714309,0.9133333333333333,0.0,nan,nan
motion,0,hybrid,0.08178240899314033,1.0,0.0,nan,nan
motion,1,threshold,0.10941711354412954,1.0,0.0,nan,nan
motion,1,consensus,0.22051889208377076,0.7466666666666667,0.0,nan,nan
motion,1,hybrid,0.11353917446891207,0.9933333333333333,0.0,nan,nan
motion,2,threshold,0.10396955303546486,1.0,0.0,nan,nan
motion,2,consensus,0.15494192779064656,0.84,0.0,nan,nan
motion,2,hybrid,0.09685746322677807,1.0,0.0,nan,nan
motion,3,threshold,0.11219511034286124,1.0,0.0,nan,nan
motion,3,consensus,0.1458340516655074,0.7933333333333333,0.0,nan,nan
motion,3,hybrid,0.09238176782143147,1.0,0.0,nan,nan
motion,4,threshold,0.14952971696894762,1.0,0.0,nan,nan
motion,4,consensus,0.13583648153627292,0.9266666666666666,0.0,nan,nan
motion,4,hybrid,0.12620372925607107,1.0,0.0,nan,nan
motion,5,threshold,0.1816547359522185,1.0,0.0,nan,nan
motion,5,consensus,0.11715706881307976,0.7666666666666667,0.0,nan,nan
motion,5,hybrid,0.12873654282099273,1.0,0.0,nan,nan
motion,6,threshold,0.16485363609474774,1.0,0.0,nan,nan
motion,6,consensus,0.11158778194012665,0.8333333333333334,0.0,nan,nan
motion,6,hybrid,0.13337501635021373,1.0,0.0,nan,nan
motion,7,threshold,0.09426635783818982,1.0,0.0,nan,nan
motion,7,consensus,0.15114735330399412,0.8533333333333334,0.0,nan,nan
motion,7,hybrid,0.08950572295637824,1.0,0.0,nan,nan
motion,8,threshold,0.1478711616619799,1.0,0.0,nan,nan
motion,8,consensus,0.11326594243192163,0.8733333333333333,0.0,nan,nan
motion,8,hybrid,0.09561136500294869,1.0,0.0,nan,nan
